                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7256,                 5.3558,                 3.6982,                      0,                      0,                      0,                      0,                 3.4817,                 6.0576,                 4.1979,                      0,                      0,                      0
                      2,                 2.6497,                 5.4364,                 3.6371,                      0,                      0,                      0,                      0,                 3.4904,                 6.0645,                 4.1917,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.3974,                 5.5547,                 3.3678,                      0,                      0,                      0,                      0,                 3.5006,                  6.061,                 4.1932,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.4663,                 5.4284,                 3.4324,                      0,                      0,                      0,                      0,                 3.5048,                 6.0616,                  4.181,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.9477,                 5.4518,                 3.2462,                      0,                      0,                      0,                      0,                 3.5034,                 6.0621,                   4.17,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.6088,                 5.2974,                 3.5776,                      0,                      0,                      0,                      0,                 3.4784,                 6.0659,                 4.1811,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.7097,                 5.6051,                 3.4436,                      0,                      0,                      0,                      0,                 3.4742,                 6.0658,                 4.1773,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.7443,                 5.5322,                   3.78,                      0,                      0,                      0,                      0,                 3.4724,                 6.0608,                 4.1678,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 2.9079,                 5.5684,                 3.5888,                      0,                      0,                      0,                      0,                 3.4712,                 6.0435,                 4.1578,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 2.0717,                  5.426,                 3.3312,                      0,                      0,                      0,                      0,                 3.4406,                  6.067,                 4.1535,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.5545,                 5.5468,                 3.5508,                      0,                      0,                      0,                      0,                 3.4319,                 6.0675,                 4.1469,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.5084,                 5.5871,                 3.3227,                      0,                      0,                      0,                      0,                 3.4125,                 6.0663,                 4.1375,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 2.6543,                 5.3562,                 3.2429,                      0,                      0,                      0,                      0,                  3.399,                 6.0576,                 4.1279,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.9581,                 5.3162,                 3.5945,                      0,                      0,                      0,                      0,                 3.4005,                 6.0639,                 4.1191,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                  2.532,                 5.4711,                 3.2593,                      0,                      0,                      0,                      0,                 3.3953,                 6.0746,                 4.1217,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                  2.636,                 5.3166,                 3.4685,                      0,                      0,                      0,                      0,                 3.3921,                 6.0833,                 4.1138,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 2.9186,                 5.2586,                 3.3935,                      0,                      0,                      0,                      0,                 3.3779,                 6.0553,                 4.1162,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                  2.491,                 5.6419,                 3.2791,                      0,                      0,                      0,                      0,                 3.3779,                 6.0553,                 4.1162,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 2.7917,                 5.1871,                 3.7011,                      0,                      0,                      0,                      0,                  3.338,                 6.0337,                 4.0901,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 2.6807,                 5.5656,                 3.4373,                      0,                      0,                      0,                      0,                  3.338,                 6.0337,                 4.0901,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 2.8084,                 5.2924,                 3.5505,                      0,                      0,                      0,                      0,                 3.3189,                 6.0565,                 4.0976,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.5268,                 5.2192,                 3.3615,                      0,                      0,                      0,                      0,                 3.3189,                 6.0565,                 4.0976,             1.9795e-05,             1.9795e-05,             1.9795e-05
